time;knee_l_on_femur_l_in_tibia_l_fx;knee_l_on_femur_l_in_tibia_l_fy;knee_l_on_femur_l_in_tibia_l_fz;knee_l_on_femur_l_in_tibia_l_mx;knee_l_on_femur_l_in_tibia_l_my;knee_l_on_femur_l_in_tibia_l_mz;knee_l_on_femur_l_in_tibia_l_px;knee_l_on_femur_l_in_tibia_l_py;knee_l_on_femur_l_in_tibia_l_pz
1.248;28.28002435;663.5271032;4.701203878;-4.37582915;-0.382473444;18.44552779;-0.011232302;0.454154748;6.94E-18
1.249;27.40130553;672.039474;5.019967052;-4.526960365;-0.370708758;18.69170318;-0.0121069;0.454141188;0
1.25;26.46828076;680.6471965;5.338133572;-4.666976903;-0.36088121;18.94009879;-0.012998345;0.454125655;-2.08E-17
1.251;25.53305234;691.5502052;5.463364294;-4.610017296;-0.367049925;19.23510983;-0.013906224;0.45410806;1.39E-17
1.252;24.49092824;702.8307513;5.592292888;-4.544659279;-0.376023882;19.51588042;-0.014830124;0.454088316;1.39E-17
1.253;23.34141241;714.4934244;5.725304163;-4.469635721;-0.388325309;19.78352958;-0.015769624;0.454066335;-2.08E-17
1.254;22.11818769;726.2567727;5.859770895;-4.382198097;-0.403592342;20.05149624;-0.016724289;0.454042034;-6.94E-18
1.255;20.82478994;738.0899549;5.995751117;-4.282767089;-0.421899332;20.32152884;-0.017693691;0.454015329;2.78E-17
1.256;19.44314284;750.1438114;6.135261413;-4.172984839;-0.443927314;20.58784136;-0.018677409;0.453986141;-1.39E-17
1.257;17.94872106;762.6427603;6.280984354;-4.051406768;-0.471324842;20.84337614;-0.019675021;0.45395439;6.94E-18
1.258;16.34287996;775.5793326;6.433089241;-3.917714311;-0.504533138;21.09017797;-0.020686094;0.453920002;-6.94E-18
1.259;14.66977179;788.5651115;6.587599622;-3.774390965;-0.54159275;21.3434789;-0.021710185;0.453882903;0
1.26;12.93431656;801.5563297;6.743991798;-3.622802625;-0.582181465;21.60508563;-0.022746859;0.453843023;2.08E-17
1.261;11.01846758;804.7392206;6.408029492;-3.098859748;-0.599188324;21.63001443;-0.023795688;0.453800294;-1.39E-17
1.262;9.026761602;808.3974346;6.077283548;-2.562741751;-0.622195693;21.6459471;-0.024856246;0.453754651;6.94E-18
1.263;6.963010912;812.5089386;5.751331443;-2.015329989;-0.651224407;21.65548538;-0.025928095;0.453706033;-2.78E-17
1.264;4.879662213;816.583019;5.424344426;-1.463613249;-0.682091984;21.6730521;-0.02701079;0.453654381;0
1.265;2.782746237;820.5664722;5.095372882;-0.9095411;-0.713987001;21.69984886;-0.028103893;0.45359964;1.39E-17
1.266;0.64711777;824.70426;4.76674027;-0.351583136;-0.748656844;21.72982179;-0.029206978;0.453541759;6.94E-18
1.267;-1.554196099;829.2993935;4.440904755;0.213289587;-0.788779134;21.75866499;-0.030319618;0.453480687;-1.39E-17
1.268;-3.816149875;834.3155438;4.116770613;0.783274749;-0.833780072;21.78906198;-0.031441378;0.45341638;0
1.269;-6.083175201;839.1804644;3.787719275;1.349269447;-0.877592198;21.83178875;-0.032571817;0.453348796;-6.94E-18
1.27;-8.349671306;843.8372656;3.452703035;1.909575019;-0.919102121;21.88703721;-0.033710502;0.453277898;1.39E-17
1.271;-9.651694855;830.4222521;2.843697698;2.579959384;-0.877258475;21.85390189;-0.034857012;0.453203651;-1.39E-17
1.272;-10.90661593;817.4251804;2.231141129;3.250324024;-0.837454894;21.83109413;-0.036010926;0.453126023;0
1.273;-12.10816651;804.7998457;1.613572726;3.918682009;-0.798593827;21.82082126;-0.037171818;0.453044987;0
1.274;-13.20175187;791.9266566;0.985656575;4.577042196;-0.753984221;21.82793516;-0.038339256;0.45296052;-6.94E-18
1.275;-14.18222366;778.7522298;0.346802318;5.22464012;-0.702586252;21.85146852;-0.03951282;0.452872603;-6.94E-18
1.276;-15.07635852;765.5919598;-0.301081536;5.864528775;-0.646916405;21.88888591;-0.040692098;0.452781219;-1.39E-17
1.277;-15.90771289;752.7765654;-0.958242562;6.498159414;-0.588693902;21.94124421;-0.041876679;0.452686355;-6.94E-18
1.278;-16.67106462;740.2552821;-1.625970036;7.124173829;-0.526651781;22.00970708;-0.043066148;0.452588004;0
1.279;-17.31757913;727.3968232;-2.306126519;7.738214965;-0.455300786;22.09213681;-0.044260093;0.45248616;6.94E-18
1.28;-17.84400694;714.1561919;-2.998389747;8.340674401;-0.374104839;22.18647204;-0.045458108;0.452380823;1.39E-17
1.281;-18.21596217;694.9451825;-4.173171678;9.117232002;-0.200088674;22.12455001;-0.046659793;0.452271995;1.39E-17
1.282;-18.48406548;676.0183673;-5.360414047;9.883813627;-0.018144807;22.0783399;-0.047864751;0.452159683;1.39E-17
1.283;-18.64495011;657.3286573;-6.560452235;10.63997381;0.172708501;22.04783026;-0.049072586;0.452043897;6.94E-18
1.284;-18.65667556;638.2655685;-7.76946414;11.38497489;0.375117806;22.02462823;-0.050282902;0.45192465;1.39E-17
1.285;-18.51699511;618.7880781;-8.988578195;12.12195756;0.589050639;22.00600711;-0.051495313;0.451801961;-6.94E-18
1.286;-18.25084728;599.2302347;-10.22161549;12.85483561;0.813234575;21.99474045;-0.052709435;0.451675849;-6.94E-18
1.287;-17.88009393;579.9125187;-11.46986319;13.5815258;1.047998064;21.99602896;-0.053924887;0.451546342;-6.94E-18
1.288;-17.40252945;560.7896361;-12.73085886;14.30094366;1.293596895;22.00911604;-0.055141292;0.451413465;-2.08E-17
1.289;-16.78119531;541.2861871;-13.99736653;15.01627755;1.549394792;22.0213501;-0.056358276;0.451277252;6.94E-18
1.29;-16.01524084;521.3776859;-15.26779899;15.72907824;1.814620709;22.03009478;-0.05757547;0.451137737;0
1.291;-20.49122653;534.6302701;-18.22198054;17.12332689;2.287822671;21.58668941;-0.058792509;0.45099496;-6.94E-18
1.292;-25.02471735;548.0804851;-21.18198211;18.51145673;2.775125887;21.15851754;-0.060009031;0.450848962;-6.94E-18
1.293;-29.61583436;561.6951085;-24.14693868;19.89471904;3.276306673;20.74412391;-0.061224678;0.450699789;0
1.294;-34.22831675;574.9343696;-27.10569746;21.27594224;3.787868991;20.32900283;-0.062439098;0.45054749;-6.94E-18
1.295;-38.86087426;587.7778159;-30.05645661;22.65587861;4.30872271;19.91085897;-0.06365194;0.450392116;-6.94E-18
1.296;-43.53657893;600.5375236;-33.00398774;24.03424825;4.839734018;19.49633421;-0.064862859;0.450233724;0
1.297;-48.28042988;613.5112389;-35.95394862;25.4114052;5.382688979;19.09182472;-0.066071514;0.450072371;6.94E-18
1.298;-53.09259331;626.6730394;-38.90523939;26.78823981;5.936960271;18.69609232;-0.067277568;0.449908118;-2.08E-17
1.299;-57.93261613;639.5085869;-41.84567069;28.16565868;6.497594653;18.2948737;-0.068480689;0.44974103;1.39E-17
1.3;-62.79775441;651.9983854;-44.77390308;29.54344722;7.06359195;17.88659807;-0.069680548;0.449571173;-6.94E-18
1.301;-67.25952404;666.9428496;-46.91101747;30.45412635;7.506961033;17.80321815;-0.070876821;0.449398618;-6.94E-18
1.302;-71.81002688;682.1354566;-49.04916988;31.36638295;7.957555558;17.72824684;-0.072069192;0.449223438;6.94E-18
1.303;-76.44841459;697.554141;-51.18758178;32.28027549;8.414677555;17.66106315;-0.073257345;0.449045706;6.94E-18
1.304;-81.12641871;712.6905805;-53.31448671;33.19402366;8.873309622;17.58832752;-0.07444097;0.448865501;-6.94E-18
1.305;-85.83889201;727.5221368;-55.42915511;34.10664559;9.332793275;17.50932841;-0.075619762;0.448682904;6.94E-18
1.306;-90.60782095;742.3486157;-57.53836533;35.01821527;9.795385207;17.43464456;-0.076793421;0.448497996;-6.94E-18
1.307;-95.46861725;757.464146;-59.64864624;35.92909062;10.26291353;17.36965665;-0.077961649;0.448310864;6.94E-18
1.308;-100.4188537;772.8461251;-61.75971085;36.83840456;10.73481881;17.3144472;-0.07912415;0.448121596;0
1.309;-105.4009911;787.9742746;-63.86034504;37.74275626;11.20687226;17.25610596;-0.08028063;0.447930285;0
1.31;-110.4095112;802.8178031;-65.95016169;38.64096385;11.6787552;17.19345678;-0.081430805;0.447737022;0
1.311;-115.7426923;821.2167872;-67.73691965;39.41623368;12.14182202;17.27802929;-0.082574398;0.447541903;1.39E-17
1.312;-121.1803386;839.9308222;-69.52721269;40.18539509;12.60789137;17.37688383;-0.083711139;0.447345021;0
1.313;-126.7182707;858.933385;-71.32151683;40.94740891;13.07664717;17.49037537;-0.084840759;0.447146476;6.94E-18
1.314;-132.2915748;877.679869;-73.1080569;41.69962759;13.54483114;17.60381322;-0.085962998;0.446946365;-1.39E-17
1.315;-137.893192;896.1343161;-74.88600132;42.4411265;14.0123112;17.71598237;-0.087077599;0.44674479;1.39E-17
1.316;-143.5557471;914.5977774;-76.66259864;43.17203084;14.48097915;17.83588292;-0.088184319;0.44654185;-6.94E-18
1.317;-149.3146367;933.3859173;-78.44621506;43.89037879;14.95223745;17.97387091;-0.08928292;0.446337646;-6.94E-18
1.318;-155.1647662;952.4668799;-80.23675894;44.5948804;15.42580883;18.13002205;-0.090373167;0.446132282;6.94E-18
1.319;-161.0362967;971.2714053;-82.02068284;45.28648085;15.89920172;18.28652753;-0.091454831;0.445925861;0
1.32;-166.922182;989.7600888;-83.79703038;45.96557627;16.37240057;18.44154153;-0.092527693;0.445718485;6.94E-18
1.321;-173.3130981;1009.242569;-85.56609488;46.68167504;16.93077073;18.50225533;-0.093591541;0.445510259;0
1.322;-179.7936209;1029.0421;-87.34353806;47.38000613;17.49143082;18.58431068;-0.094646171;0.445301287;0
1.323;-186.3583442;1049.122616;-89.12881755;48.06004929;18.05412471;18.68720699;-0.095691383;0.445091673;0
1.324;-192.9352305;1068.897506;-90.90581368;48.72783185;18.61685591;18.78923523;-0.096726984;0.444881521;6.94E-18
1.325;-199.5178075;1088.327268;-92.67312815;49.38488819;19.17962711;18.88792787;-0.097752789;0.444670935;0
1.326;-206.1435364;1107.730612;-94.43932899;50.02876244;19.74353396;18.99483058;-0.098768621;0.444460019;-6.94E-18
1.327;-212.8506381;1127.433454;-96.21445016;50.65454894;20.30959113;19.12318372;-0.099774309;0.444248876;-1.39E-17
1.328;-219.6340242;1147.398273;-97.99742066;51.26277587;20.87754336;19.27185368;-0.100769689;0.444037608;-6.94E-18
1.329;-226.4208843;1167.031628;-99.76982654;51.86418684;21.44570316;19.41559229;-0.101754602;0.443826319;-6.94E-18
1.33;-233.2053605;1186.296581;-101.5300594;52.46099317;22.01408286;19.55162659;-0.102728899;0.44361511;-6.94E-18
